gene	ENSG00000231620	ENST00000433210
isoform	ENST00000433210	ENSE00001802701;ENSE00001729938
exon	ENSE00001802701	8250613	8250877
exon	ENSE00001729938	8252369	8252739
gene	ENSG00000273692	ENST00000619798
isoform	ENST00000619798	ENSE00003737220
exon	ENSE00003737220	2653853	2654518
gene	ENSG00000228159	ENST00000427446
isoform	ENST00000427446	ENSE00001662293;ENSE00001678745;ENSE00001645333;ENSE00001733572
exon	ENSE00001662293	2495033	2495123
exon	ENSE00001678745	2495980	2496128
exon	ENSE00001645333	2505393	2505511
exon	ENSE00001733572	2507317	2507461
gene	ENSG00000233442	ENST00000450880
isoform	ENST00000450880	ENSE00001601617;ENSE00001732406;ENSE00001671289;ENSE00001747209;ENSE00001796418;ENSE00001765826;ENSE00001776292;ENSE00001683970;ENSE00001787788;ENSE00001783912;ENSE00001405469
exon	ENSE00001601617	2956134	2956198
exon	ENSE00001732406	2957187	2957302
exon	ENSE00001671289	2958589	2958673
exon	ENSE00001747209	2959243	2959317
exon	ENSE00001796418	2959777	2959874
exon	ENSE00001765826	2960362	2960419
exon	ENSE00001776292	2960696	2960810
exon	ENSE00001683970	2961120	2961282
exon	ENSE00001787788	2962503	2962657
exon	ENSE00001783912	2962761	2962848
exon	ENSE00001405469	2963624	2963880
gene	ENSG00000207097	ENST00000384369
isoform	ENST00000384369	ENSE00001807840
exon	ENSE00001807840	1996583	1996689
gene	ENSG00000279390	ENST00000623352
isoform	ENST00000623352	ENSE00003758400
exon	ENSE00003758400	3999189	4001379
gene	ENSG00000249493	ENST00000359341
isoform	ENST00000359341	ENSE00002039080;ENSE00001609657;ENSE00002057291
exon	ENSE00002039080	3013325	3013527
exon	ENSE00001609657	3017637	3017751
exon	ENSE00002057291	3017914	3018087
gene	ENSG00000207476	ENST00000384745
isoform	ENST00000384745	ENSE00001807519
exon	ENSE00001807519	2570577	2570683
gene	ENSG00000271486	ENST00000603349
isoform	ENST00000603349	ENSE00003648479
exon	ENSE00003648479	8569695	8570545
gene	ENSG00000224922	ENST00000444356
isoform	ENST00000444356	ENSE00001643453;ENSE00001800469
exon	ENSE00001643453	2718932	2719213
exon	ENSE00001800469	2720565	2720740
gene	ENSG00000207863	ENST00000385128
isoform	ENST00000385128	ENSE00001500134
exon	ENSE00001500134	5539237	5539325
gene	ENSG00000199030	ENST00000362160
isoform	ENST00000362160	ENSE00001436923
exon	ENSE00001436923	5488828	5488911
gene	ENSG00000233997	ENST00000430060;ENST00000425979
isoform	ENST00000430060	ENSE00001770393;ENSE00001592495;ENSE00001772789;ENSE00001633794;ENSE00001613133
exon	ENSE00001770393	10695985	10696043
exon	ENSE00001592495	10697395	10697684
exon	ENSE00001772789	10733973	10734053
exon	ENSE00001633794	10735299	10735391
exon	ENSE00001613133	10746179	10746415
isoform	ENST00000425979	ENSE00001595132;ENSE00001772789;ENSE00001633794;ENSE00001613133
exon	ENSE00001595132	10695973	10696043
exon	ENSE00001772789	10733973	10734053
exon	ENSE00001633794	10735299	10735391
exon	ENSE00001613133	10746179	10746415
gene	ENSG00000232797	ENST00000443486
isoform	ENST00000443486	ENSE00001782100
exon	ENSE00001782100	2741635	2742141
gene	ENSG00000155313	ENST00000351097;ENST00000549362;ENST00000453553;ENST00000478932;ENST00000285679;ENST00000285681;ENST00000449491;ENST00000464435;ENST00000400183;ENST00000547201
isoform	ENST00000351097	ENSE00001359698;ENSE00001382509;ENSE00001020305;ENSE00003513801;ENSE00003612782;ENSE00003471173;ENSE00003563904;ENSE00001020332;ENSE00001020331;ENSE00001020263;ENSE00003644123
exon	ENSE00001359698	4679025	4679438
exon	ENSE00001382509	4711891	4711968
exon	ENSE00001020305	4714997	4715141
exon	ENSE00003513801	4726904	4727027
exon	ENSE00003612782	4740502	4740664
exon	ENSE00003471173	4748757	4748843
exon	ENSE00003563904	4754121	4754258
exon	ENSE00001020332	4819068	4819147
exon	ENSE00001020331	4823403	4823526
exon	ENSE00001020263	4826796	4826991
exon	ENSE00003644123	4827303	4827911
isoform	ENST00000549362	ENSE00002387577;ENSE00003541091;ENSE00003583676;ENSE00003529088;ENSE00003693927;ENSE00002397072
exon	ENSE00002387577	4722256	4722317
exon	ENSE00003541091	4726904	4727027
exon	ENSE00003583676	4740502	4740664
exon	ENSE00003529088	4748757	4748843
exon	ENSE00003693927	4754121	4754258
exon	ENSE00002397072	4767698	4767729
isoform	ENST00000453553	ENSE00001796339;ENSE00001183092;ENSE00001020326;ENSE00001020314;ENSE00001679209
exon	ENSE00001796339	4774010	4774061
exon	ENSE00001183092	4775977	4776203
exon	ENSE00001020326	4779531	4779601
exon	ENSE00001020314	4780401	4780629
exon	ENSE00001679209	4782348	4782379
isoform	ENST00000478932	ENSE00001831243;ENSE00003548843
exon	ENSE00001831243	4824996	4826991
exon	ENSE00003548843	4827303	4827911
isoform	ENST00000285679	ENSE00001359698;ENSE00001382509;ENSE00001020305;ENSE00003513801;ENSE00003612782;ENSE00003471173;ENSE00003563904;ENSE00003615186;ENSE00003654731;ENSE00001020279;ENSE00001020310;ENSE00001020334;ENSE00001183063;ENSE00001183092;ENSE00001020326;ENSE00001020314;ENSE00001020335;ENSE00001020266;ENSE00001020323;ENSE00001020284;ENSE00001020332;ENSE00001020331;ENSE00001020263;ENSE00003644123
exon	ENSE00001359698	4679025	4679438
exon	ENSE00001382509	4711891	4711968
exon	ENSE00001020305	4714997	4715141
exon	ENSE00003513801	4726904	4727027
exon	ENSE00003612782	4740502	4740664
exon	ENSE00003471173	4748757	4748843
exon	ENSE00003563904	4754121	4754258
exon	ENSE00003615186	4757809	4757885
exon	ENSE00003654731	4760137	4760210
exon	ENSE00001020279	4767698	4767846
exon	ENSE00001020310	4773039	4773166
exon	ENSE00001020334	4773966	4774061
exon	ENSE00001183063	4775204	4775365
exon	ENSE00001183092	4775977	4776203
exon	ENSE00001020326	4779531	4779601
exon	ENSE00001020314	4780401	4780629
exon	ENSE00001020335	4782348	4782548
exon	ENSE00001020266	4791398	4791540
exon	ENSE00001020323	4813268	4813446
exon	ENSE00001020284	4815266	4815344
exon	ENSE00001020332	4819068	4819147
exon	ENSE00001020331	4823403	4823526
exon	ENSE00001020263	4826796	4826991
exon	ENSE00003644123	4827303	4827911
isoform	ENST00000285681	ENSE00001359698;ENSE00001382509;ENSE00001020305;ENSE00003513801;ENSE00003612782;ENSE00003471173;ENSE00003563904;ENSE00003615186;ENSE00003654731;ENSE00001020279;ENSE00001020310;ENSE00001020334;ENSE00001183063;ENSE00001183092;ENSE00001020326;ENSE00001020314;ENSE00001020335;ENSE00001020266;ENSE00001020318;ENSE00001020323;ENSE00001020284;ENSE00001020332;ENSE00001020331;ENSE00001020263;ENSE00001359373
